Date,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Low,Sum,,wind avg,wind avg mph,Direction
3/1/23,43.7 °F,41.2 °F,37.5 °F,35.4 °F,26.4 °F,20.4 °F,77%,56%,41%,28,16.3,2,29.93 in,29.53 in,0.07 in,,16.3,16.3,WSW
3/2/2023,56.9 °F,45.1 °F,34.9 °F,31.7 °F,25.1 °F,20.1 °F,69%,48%,25%,9,3.7,0,30.13 in,29.93 in,0.00 in,,3.7,3.7,S
3/3/2023,61.3 °F,48.9 °F,37.5 °F,33.3 °F,29.1 °F,25.8 °F,68%,49%,28%,12,4.9,0,30.00 in,29.84 in,0.00 in,,4.9,4.9,E
3/4/2023,57.9 °F,46.5 °F,34.1 °F,38.6 °F,31.8 °F,28.3 °F,81%,58%,35%,31,13.7,0,29.90 in,29.76 in,0.00 in,,13.7,13.7,SW
3/5/2023,54.2 °F,47.8 °F,41.3 °F,36.0 °F,32.2 °F,29.0 °F,67%,55%,41%,27,20.4,12,29.96 in,29.88 in,0.00 in,,20.4,20.4,WSW
3/6/2023,53.7 °F,46.8 °F,40.3 °F,30.8 °F,27.2 °F,25.4 °F,59%,47%,34%,29,16.6,7,30.07 in,29.95 in,0.00 in,,16.6,16.6,WSW
3/7/2023,56.0 °F,46.7 °F,37.9 °F,31.6 °F,27.7 °F,24.0 °F,59%,48%,35%,16,8.4,1,30.09 in,29.95 in,0.00 in,,8.4,8.4,SW
3/8/2023,55.5 °F,47.0 °F,38.0 °F,33.0 °F,28.7 °F,24.5 °F,61%,49%,41%,25,11.8,0,30.07 in,29.98 in,0.00 in,,11.8,11.8,SW
3/9/2023,66.0 °F,50.1 °F,32.5 °F,35.2 °F,29.0 °F,23.2 °F,75%,47%,21%,23,8.7,0,30.13 in,29.92 in,0.00 in,,8.7,8.7,S
3/10/2023,59.9 °F,54.8 °F,50.2 °F,50.2 °F,43.6 °F,21.8 °F,81%,67%,27%,27,13.3,2,29.91 in,29.76 in,0.10 in,,13.3,13.3,SSW
3/11/2023,67.8 °F,59.2 °F,52.6 °F,49.5 °F,46.3 °F,42.0 °F,77%,63%,45%,27,13.6,1,29.97 in,29.84 in,0.05 in,,13.6,13.6,WSW
3/12/2023,68.8 °F,60.1 °F,49.9 °F,44.2 °F,41.1 °F,37.5 °F,70%,51%,35%,24,13.3,0,30.00 in,29.91 in,0.00 in,,13.3,13.3,WSW
3/13/2023,69.3 °F,60.1 °F,51.5 °F,44.8 °F,41.3 °F,37.4 °F,66%,51%,35%,20,10.5,2,30.02 in,29.87 in,0.00 in,,10.5,10.5,WSW
3/14/2023,58.0 °F,55.2 °F,50.9 °F,48.6 °F,46.3 °F,42.4 °F,80%,72%,61%,19,11.3,0,29.93 in,29.83 in,0.14 in,,11.3,11.3,SW
3/15/2023,62.7 °F,55.4 °F,49.5 °F,52.1 °F,45.6 °F,38.1 °F,87%,70%,53%,25,11.9,0,29.87 in,29.75 in,0.52 in,,11.9,11.9,SW
3/16/2023,64.0 °F,52.6 °F,41.9 °F,43.7 °F,38.0 °F,33.2 °F,80%,61%,34%,6,3.2,0,30.00 in,29.88 in,0.00 in,,3.2,3.2,SE
3/17/2023,64.5 °F,52.4 °F,39.1 °F,44.8 °F,35.1 °F,28.2 °F,85%,57%,26%,15,4.9,0,30.06 in,29.95 in,0.00 in,,4.9,4.9,E
3/18/2023,65.9 °F,53.5 °F,37.9 °F,36.1 °F,30.5 °F,24.7 °F,70%,45%,24%,16,5,0,30.13 in,29.96 in,0.00 in,,5,5,E
3/19/2023,58.5 °F,53.4 °F,45.8 °F,46.9 °F,40.6 °F,30.5 °F,83%,63%,38%,24,8.4,0,29.98 in,29.73 in,0.12 in,,8.4,8.4,SW
3/20/2023,63.8 °F,55.6 °F,49.6 °F,43.8 °F,40.4 °F,38.1 °F,72%,57%,42%,24,14.5,1,29.82 in,29.67 in,0.00 in,,14.5,14.5,SSW
3/21/2023,55.0 °F,46.6 °F,42.6 °F,46.4 °F,38.5 °F,34.4 °F,85%,74%,51%,33,13.4,0,29.70 in,29.52 in,0.64 in,,13.4,13.4,SSW
3/22/2023,52.4 °F,46.2 °F,40.7 °F,38.8 °F,36.1 °F,32.7 °F,78%,68%,56%,24,14.8,3,30.06 in,29.70 in,0.00 in,,14.8,14.8,SSW
3/23/2023,57.8 °F,46.9 °F,35.1 °F,42.8 °F,35.1 °F,27.3 °F,85%,65%,43%,24,9.9,0,30.14 in,30.04 in,0.00 in,,9.9,9.9,WSW
3/24/2023,56.3 °F,49.8 °F,45.9 °F,34.0 °F,30.4 °F,26.6 °F,52%,47%,41%,30,17.9,7,30.14 in,30.06 in,0.00 in,,17.9,17.9,WSW
3/25/2023,56.0 °F,47.4 °F,38.7 °F,32.6 °F,29.1 °F,25.9 °F,65%,50%,32%,21,9.3,1,30.13 in,29.97 in,0.00 in,,9.3,9.3,WSW
3/26/2023,56.8 °F,48.0 °F,37.0 °F,29.9 °F,24.6 °F,17.5 °F,58%,41%,28%,23,13.7,3,30.16 in,29.99 in,0.00 in,,13.7,13.7,WSW
3/27/2023,57.0 °F,46.0 °F,32.0 °F,28.5 °F,20.5 °F,16.9 °F,62%,39%,21%,17,6.7,0,30.28 in,30.15 in,0.00 in,,6.7,6.7,ENE
3/28/2023,67.1 °F,50.0 °F,33.9 °F,31.8 °F,24.3 °F,18.8 °F,60%,38%,24%,28,10.9,0,30.18 in,29.83 in,0.00 in,,10.9,10.9,SSW
3/29/2023,56.1 °F,49.8 °F,42.4 °F,41.0 °F,32.8 °F,21.0 °F,78%,54%,28%,28,18.9,6,29.84 in,29.70 in,0.00 in,,18.9,18.9,SW
3/30/2023,54.8 °F,46.2 °F,39.0 °F,35.2 °F,33.0 °F,30.2 °F,78%,61%,40%,19,10,0,30.03 in,29.75 in,0.05 in,,10,10,SW
3/31/2023,65.0 °F,48.6 °F,32.9 °F,37.6 °F,31.6 °F,20.9 °F,80%,56%,19%,18,5.7,0,30.1,,,,5.7,5.7,SSW
3/1/2022,79.6 °F,56.7 °F,30.8 °F,26.2 °F,20.6 °F,12.9 °F,47%,27%,12%,10,3.8,0,30.20 in,29.99 in,0.00 in,,3.8,3.8,SSW
3/2/2022,80.7 °F,58.1 °F,35.8 °F,25.6 °F,20.6 °F,15.9 °F,47%,26%,10%,8,3.4,0,30.09 in,29.87 in,0.00 in,,3.4,3.4,SSW
3/3/2022,76.0 °F,57.2 °F,36.8 °F,39.2 °F,22.8 °F,16.1 °F,57%,29%,11%,23,7.5,0,29.90 in,29.66 in,0.00 in,,7.5,7.5,SSW
3/4/2022,62.2 °F,54.6 °F,48.8 °F,39.6 °F,36.9 °F,33.6 °F,64%,52%,39%,31,18.7,6,29.84 in,29.70 in,0.00 in,,18.7,18.7,SW
3/5/2022,52.3 °F,45.8 °F,38.8 °F,35.2 °F,23.6 °F,17.7 °F,60%,42%,29%,32,20.8,8,30.01 in,29.81 in,0.00 in,,20.8,20.8,WSW
3/6/2022,59.4 °F,47.4 °F,37.2 °F,31.0 °F,26.0 °F,20.4 °F,57%,45%,25%,17,8.2,1,30.19 in,30.01 in,0.00 in,,8.2,8.2,SW
3/7/2022,60.8 °F,49.7 °F,33.7 °F,27.9 °F,15.8 °F,6.3 °F,66%,30%,15%,31,11.2,0,30.28 in,30.14 in,0.00 in,,11.2,11.2,ENE
3/8/2022,65.1 °F,49.8 °F,29.7 °F,27.5 °F,16.1 °F,5.3 °F,37%,27%,18%,12,5.5,0,30.24 in,29.94 in,0.00 in,,5.5,5.5,SSE
3/9/2022,68.7 °F,56.0 °F,34.4 °F,32.8 °F,26.9 °F,16.2 °F,49%,33%,25%,31,13.5,0,29.95 in,29.69 in,0.00 in,,13.5,13.5,SW
3/10/2022,62.6 °F,55.8 °F,47.0 °F,32.9 °F,16.8 °F,3.0 °F,45%,24%,11%,35,20.6,5,30.18 in,29.68 in,0.00 in,,20.6,20.6,WNW
3/11/2022,65.4 °F,50.9 °F,32.5 °F,11.2 °F,6.4 °F,-0.4 °F,25 %,17%,11%,10,4.2,0,30.38 in,30.18 in,0.00 in,,4.2,4.2,ENE
3/12/2022,71.1 °F,55.8 °F,31.7 °F,22.9 °F,12.3 °F,0.8 °F,27%,18%,12%,15,6.7,1,30.32 in,29.98 in,0.00 in,,6.7,6.7,SW
3/13/2022,72.4 °F,63.6 °F,55.0 °F,35.3 °F,26.5 °F,19.2 °F,36%,25%,18%,37,17.8,4,30.00 in,29.79 in,0.00 in,,17.8,17.8,SW
3/14/2022,76.5 °F,62.4 °F,48.0 °F,33.6 °F,24.9 °F,16.7 °F,38%,25%,16%,12,5.5,0,30.18 in,29.99 in,0.00 in,,5.5,5.5,SW
3/15/2022,74.2 °F,61.3 °F,43.9 °F,40.3 °F,32.2 °F,22.3 °F,47%,34%,24%,27,11.5,0,30.10 in,29.91 in,0.00 in,,11.5,11.5,WSW
3/16/2022,73.4 °F,63.5 °F,52.0 °F,41.6 °F,37.6 °F,31.3 °F,58%,40%,24%,24,9.8,1,30.01 in,29.85 in,0.00 in,,9.8,9.8,WSW
3/17/2022,73.6 °F,59.5 °F,44.1 °F,40.3 °F,32.1 °F,21.2 °F,61%,39%,15%,18,6.7,0,30.10 in,29.91 in,0.00 in,,6.7,6.7,SSW
3/18/2022,77.0 °F,62.0 °F,43.3 °F,35.0 °F,27.5 °F,20.7 °F,49%,29%,16%,11,4.2,0,30.04 in,29.89 in,0.00 in,,4.2,4.2,S
3/19/2022,71.8 °F,58.1 °F,48.0 °F,40.3 °F,32.2 °F,25.7 °F,58%,39%,19%,30,12,0,29.93 in,29.73 in,0.00 in,,12,12,SW
3/20/2022,69.6 °F,57.0 °F,49.9 °F,39.1 °F,35.2 °F,24.4 °F,62%,46%,20%,30,14.2,2,30.02 in,29.74 in,0.00 in,,14.2,14.2,WSW
3/21/2022,75.5 °F,59.5 °F,44.8 °F,39.9 °F,33.0 °F,26.1 °F,62%,41%,18%,12,4.9,0,30.11 in,29.96 in,0.00 in,,4.9,4.9,S
3/22/2022,81.3 °F,64.3 °F,44.0 °F,38.5 °F,33.5 °F,27.5 °F,53%,34%,19%,12,4.3,0,30.15 in,29.97 in,0.00 in,,4.3,4.3,ESE
3/23/2022,81.6 °F,66.5 °F,48.8 °F,36.0 °F,32.0 °F,26.7 °F,44%,29%,19%,11,4.2,0,30.16 in,29.95 in,0.00 in,,4.2,4.2,SSE
3/24/2022,87.1 °F,68.9 °F,49.6 °F,42.8 °F,35.8 °F,29.7 °F,48%,32%,15%,11,4.2,0,30.02 in,29.83 in,0.00 in,,4.2,4.2,SSW
3/25/2022,88.5 °F,70.2 °F,51.9 °F,42.5 °F,38.6 °F,34.0 °F,55%,34%,16%,14,4.8,0,29.97 in,29.77 in,0.00 in,,4.8,4.8,SSW
3/26/2022,87.5 °F,68.9 °F,48.8 °F,37.6 °F,29.7 °F,20.9 °F,48%,27%,10%,22,7.5,0,29.84 in,29.63 in,0.00 in,,7.5,7.5,SSW
3/27/2022,79.0 °F,67.1 °F,58.3 °F,28.8 °F,19.8 °F,9.9 °F,31%,17%,10%,28,11.3,0,29.70 in,29.59 in,0.00 in,,11.3,11.3,SSW
3/28/2022,57.7 °F,52.3 °F,47.8 °F,43.4 °F,38.7 °F,27.2 °F,75%,60%,31%,23,11,2,29.71 in,29.60 in,0.08 in,,11,11,WSW
3/29/2022,67.4 °F,56.2 °F,47.0 °F,42.5 °F,39.1 °F,35.6 °F,72%,54%,36%,25,13.6,1,29.94 in,29.68 in,0.00 in,,13.6,13.6,SW
3/30/2022,75.9 °F,60.1 °F,47.5 °F,45.6 °F,40.0 °F,34.4 °F,66%,50%,24%,26,8.9,0,30.00 in,,,,8.9,8.9,SSW
3/6/2021,68.7 °F,60.9 °F,51.4 °F,37.9 °F,35.0 °F,28.0 °F,53%,39%,23%,25,17,8,29.90 in,29.77 in,0.00 in,,17,17,WSW
3/7/2021,68.2 °F,56.6 °F,44.2 °F,38.6 °F,34.9 °F,31.4 °F,63%,46%,26%,14,3.8,0,29.97 in,29.85 in,0.00 in,,3.8,3.8,SW
3/8/2021,64.2 °F,55.0 °F,46.3 °F,38.4 °F,31.4 °F,23.1 °F,68%,43%,28%,27,14.6,0,30.03 in,29.91 in,0.00 in,,14.6,14.6,WSW
3/9/2021,58.0 °F,50.4 °F,43.8 °F,34.4 °F,28.1 °F,23.9 °F,68%,43%,29%,28,18.4,10,30.01 in,29.92 in,0.00 in,,18.4,18.4,SW
