num (ignore),Avg windspeed,windSpeed,Direction,windTurbulence,deploymentTime,,simTime,posEast,posNorth,altitude,longitude,latitude,max altitude,deploymentVelocity,groundspeedVelocity
0,2.435841976,0,86.27819294,0,72.9531686,,829.3784385,362.0755368,1150.383628,627,118.0039756,35.01034558,24196.59087,82.403127,11.98160786
1,5.185664,0,84.45802974,0,71.9287352,,831.8823281,5654.523001,2293.734357,627,118.0620949,35.02061224,24292.69794,82.70613146,11.98141885
2,0.759968,0,57.53845339,0,73.57921112,,830.9983586,1712.368929,2236.698744,627,118.0188042,35.02011367,24209.60001,82.35837317,11.9822535
3,0.995690189,0,228.3128082,0,71.54139418,,831.1354456,2491.000615,1010.01856,627,118.027351,35.00908025,24266.44715,82.98386889,11.98161598
4,0.657523317,0,141.2921984,0,68.4448448,,831.8092368,3632.631123,1419.293093,627,118.0398878,35.01275749,24306.18811,83.07439943,11.98128413
5,2.996762024,0,229.8649752,0,70.21210453,,832.2872099,3074.302358,1835.20572,627,118.0337586,35.01649973,24231.51946,82.42252964,11.98588794
6,2.195110119,0,180.0164295,0,71.23739028,,831.1440175,2655.530974,1623.486496,627,118.0291595,35.01459688,24293.89515,84.01655783,11.98149713
7,2.230169173,0,300.9810124,0,70.44515737,,831.559385,3499.372149,-27.18686424,627,118.0384184,34.99974945,24280.92933,82.58504884,11.98312635
8,3.889248,0,214.2338026,0,71.82685906,,831.6128372,622.7663858,1831.962135,627,118.0068385,35.01647504,24087.15052,85.71948999,11.98188193
9,0.57241153,0,178.2911824,0,73.10599864,,832.4016671,4419.837005,579.1257137,627,118.0485271,35.00519855,24312.62951,83.12033488,11.98143139
10,1.416165339,0,112.5884937,0,72.10859456,,830.5264103,6462.799514,-277.3670477,627,118.0709509,34.99748494,24249.69087,82.58618158,11.98164311
11,0.669225894,0,69.98629408,0,73.66491316,,829.4871852,838.912924,-800.714119,627,118.0092094,34.99279866,24169.61114,82.696216,11.9814754
12,4.287799528,0,305.8734224,0,72.19812068,,829.9584675,3791.8115,-861.5006572,627,118.0416252,34.99224523,24226.84714,82.00769298,11.9821961
13,4.320528719,0,214.1317468,0,68.297201,,829.7656929,10304.85527,-591.1009767,627,118.1131264,34.99463163,24303.14196,82.44500922,11.99714399
14,1.408280631,0,319.2157486,0,69.15195238,,831.6675689,5000.646211,-297.7354576,627,118.0548987,34.99731004,24289.23254,83.66097094,12.00111024
15,1.691071285,0,172.8735999,0,69.38657342,,830.9753299,6924.05511,617.8402309,627,118.0760222,35.00553267,24340.26385,83.43568969,11.9808029
16,4.293917326,0,218.7413533,0,67.73277144,,832.8286785,2471.125459,-121.1507595,627,118.0271294,34.99890745,24242.43312,84.98181836,11.98126423
17,3.12928,0,249.3206474,0,68.48162142,,830.1845424,4927.528626,29.33680375,627,118.054098,35.00025183,24148.56368,82.72009202,11.98166601
18,1.392204637,0,212.4937722,0,69.58379585,,830.2385408,6340.087522,-3509.077445,627,118.069579,34.96842226,24342.63385,82.64948852,11.98092329
19,1.38996724,0,242.3788203,0,73.47544644,,831.4317535,5008.429966,1148.393197,627,118.0549929,35.01031535,24235.08187,83.09456196,11.98126516
20,5.185664,0,188.3385338,0,73.6005651,,830.6193468,5975.634134,1261.658051,627,118.0656137,35.01132871,24235.24618,83.23195122,11.9816082
21,2.145792,0,213.5362027,0,69.11138875,,830.2266465,977.9350467,2027.442098,627,118.0107388,35.01823275,24224.32832,82.70219338,11.98210112
22,3.68808,0,163.3379745,0,72.31703095,,831.051613,2851.097191,356.1897444,627,118.0313025,35.00319927,24282.40696,82.14168096,11.98063119
23,1.703759896,0,216.6238528,0,69.33686865,,831.7103617,3561.966698,789.9264798,627,118.0391091,35.00709771,24266.82673,84.44096374,11.98084281
24,4.16183064,0,223.3413585,0,73.98825638,,832.3668923,3913.574696,-2172.194342,627,118.0429557,34.98045742,24216.37363,85.04039429,11.98114723
25,9.968992,0,205.310734,0,72.33445277,,831.4570284,2574.833716,1702.419716,627,118.0282736,35.01530695,24196.44364,84.0721143,11.98131019
26,5.5767165,0,221.175521,0,69.43872911,,829.5414037,4672.510994,-463.0399193,627,118.0512954,34.99582499,24352.17765,82.32484628,11.98078916
27,0.573795915,0,209.0726862,0,71.63421721,,832.6575302,833.9996761,1380.597069,627,118.0091576,35.01241566,24131.2714,82.04573091,11.98113894
28,2.448349265,0,249.7775864,0,67.0410001,,830.8101291,5377.997061,-372.1903712,627,118.0590409,34.99663852,24325.57321,82.60755644,11.98099147
29,2.79E-04,0,198.8304451,0,68.7623477,,829.28409,5364.658236,-1347.650116,627,118.0588882,34.98786607,24216.55404,82.77434759,11.98177686
30,3.978656,0,217.9163558,0,72.73488022,,830.7814874,1610.460419,-1414.518192,627,118.017678,34.98727765,24297.29685,82.87183292,11.98147298
31,1.23947881,0,90.91570456,0,69.69380228,,830.791994,3482.326853,-1042.876406,627,118.038227,34.9906152,24280.30885,83.07736085,11.98159679
32,6.645994667,0,226.8821621,0,68.33670774,,831.110325,7064.475248,466.8374105,627,118.0775626,35.0041737,24316.54814,82.74403429,11.99249424
33,7.420864,0,205.8346737,0,67.5660224,,830.7786346,4478.06978,818.6754573,627,118.0491678,35.00735261,24240.43687,83.06826392,11.9809827
34,1.900834568,0,227.1987983,0,71.51832016,,830.710761,4220.917499,893.8538753,627,118.0463447,35.00802981,24312.03814,83.87250581,11.98083991
35,3.019097098,0,204.6878731,0,69.86851904,,831.8141963,4133.040841,807.3058215,627,118.0453794,35.00725183,24241.34293,82.9872911,11.98092726
36,6.48208,0,234.1042785,0,72.45650001,,830.4724815,3335.893118,-1060.328554,627,118.0366195,34.99045874,24276.47774,81.80925789,11.98124818
37,5.498592,0,208.3487658,0,67.6701571,,832.3722532,6258.334325,-612.6391062,627,118.0687037,34.99447105,24301.6334,83.28213243,11.98126621
38,9.074912,0,37.29675952,0,69.91916406,,833.131634,5014.57286,-1012.89596,627,118.0550473,34.99087838,24272.30175,83.25661673,11.98133297
39,5.622373827,0,201.4301033,0,71.48077391,,829.9665008,5812.856651,-2360.162788,627,118.063801,34.97875785,24320.411,82.3593669,11.97846364
40,3.263392,0,231.1087943,0,68.32084261,,830.4670596,4657.16407,2008.227426,627,118.0511408,35.0180497,24328.61115,82.9437601,11.98097902
41,1.270751229,0,230.6883133,0,73.49313917,,830.2339568,6315.830071,-444.0845632,627,118.0693361,34.99598654,24290.47905,82.90789209,11.98125061
42,4.395122446,0,216.2920955,0,69.35664915,,831.3429998,3630.077509,-1416.962653,627,118.0398473,34.98725044,24224.25975,82.41098177,11.97465195
43,2.237002966,0,223.9314916,0,69.22008176,,829.3788462,5332.70443,-196.8030239,627,118.0585448,34.99821605,24119.7151,82.06953607,11.98159786
44,5.364661377,0,212.7833419,0,73.22364735,,830.9872651,5987.735794,-2627.636252,627,118.0657185,34.97635139,24303.94715,82.16794579,11.98204459
45,0.857970482,0,191.5526027,0,72.76287883,,831.3072455,5942.485665,-261.4910042,627,118.0652388,34.9976309,24304.66326,81.91328773,11.9809738
46,1.392170173,0,227.4576605,0,70.12710839,,831.0415519,6689.647904,1980.021948,627,118.0734595,35.01778464,24329.94812,83.62629605,11.98606375
47,5.185664,0,247.2210671,0,68.03186352,,829.9431693,5380.285869,2032.431989,627,118.0590817,35.01826379,24340.12682,83.08871127,11.98577159
48,1.000675457,0,195.8941442,0,72.91556415,,831.2621117,5276.793567,786.9065092,627,118.0579373,35.00706306,24276.26136,81.9017622,11.98489582
49,2.61372665,0,112.951516,0,67.42790636,,830.3001097,6560.641335,3496.905034,627,118.0720549,35.03142714,24304.70696,83.36485209,11.9810821
50,4.485301333,0,242.7629193,0,73.91487011,,831.2365797,4373.158622,-542.7673232,627,118.0480087,34.99510933,24264.10986,82.77092946,11.98571066
51,0.6789027,0,247.2776403,0,72.60135699,,831.6555559,4279.131205,918.9067128,627,118.046984,35.00825488,24264.02367,82.61180273,11.98277363
52,2.537768655,0,31.10176177,0,73.66288653,,831.7576949,5235.570117,1424.040318,627,118.0574887,35.01279315,24261.98432,83.39529409,11.98118306
53,2.226332736,0,49.55350317,0,67.5786972,,831.6469538,7711.323018,-1733.592621,627,118.0846441,34.98438005,24264.44509,83.15485877,12.00477548
54,0.002025923,0,237.5576829,0,68.56119586,,830.9149544,-1263.548273,1408.228874,627,117.9861257,35.01266372,24172.10309,82.80068775,11.9816507
55,1.519936,0,213.5750922,0,72.51018492,,830.0561561,5405.829342,1150.984776,627,118.0593564,35.01033661,24235.26842,82.68063367,11.98150194
56,1.076686266,0,208.2387927,0,73.93993877,,830.3573822,7377.340834,1756.510394,627,118.0810092,35.01576977,24312.77314,83.9441317,12.00508905
57,1.870072599,0,261.1419711,0,73.59593068,,830.0548833,6724.661845,144.8433188,627,118.0738291,35.00128026,24332.16801,82.6802217,11.98105235
58,5.602573015,0,239.6888531,0,67.61093994,,830.8443602,3183.146973,-84.18835187,627,118.0349465,34.99923787,24228.90396,82.2852562,11.98139118
59,1.053478154,0,323.5592949,0,67.02300945,,830.5851273,6759.144192,-1307.53555,627,118.0741959,34.98821848,24165.66509,82.54968417,11.98298989
60,4.485301333,0,243.6569902,0,69.30050631,,831.5197995,4512.252016,-1025.349099,627,118.049533,34.99076875,24304.42099,83.65966181,11.98122077
61,2.426216469,0,226.4884829,0,70.45039502,,831.1081218,3767.680666,448.7088521,627,118.0413662,35.00402832,24234.53845,82.00515736,11.98210874
62,1.390059038,0,293.8890869,0,67.99743653,,831.9311184,3328.441611,-162.6134498,627,118.0365413,34.99853211,24243.84296,82.92790209,12.00488595
63,4.16183064,0,223.1497399,0,69.24783353,,832.2804917,4775.836429,3603.273397,627,118.0524532,35.03239374,24218.90219,83.77672176,11.98142118
64,4.319982943,0,249.3028732,0,73.01781794,,831.801056,3988.029107,203.7225853,627,118.0437843,35.00182426,24283.35358,83.20277898,11.98124741
65,3.060028198,0,211.7796923,0,73.1935104,,829.7583098,1675.021866,1413.482606,627,118.0183924,35.01271037,24175.15191,82.41310073,11.98193775
66,3.68808,0,224.6066984,0,70.7231873,,830.372769,2789.602453,-1958.323622,627,118.0306196,34.98238453,24275.39029,82.61441232,11.97884827
67,4.304224735,0,83.0490121,0,71.10589198,,830.4225634,2628.418135,-1661.907837,627,118.0288513,34.98505069,24150.51191,82.7668086,11.98225358
68,3.367701333,0,227.2836219,0,71.28278372,,836.3623475,3353.694103,-202.0384152,627,118.0368183,34.99817747,24182.66439,84.00741829,11.98189495
69,1.079440211,0,210.0739871,0,70.19794738,,833.1798994,4248.494097,-623.3829231,627,118.0466397,34.99438486,24301.76556,82.13417423,11.98120105
70,9.074912,0,49.86083832,0,73.54724418,,830.5057191,2319.63143,2322.835036,627,118.025473,35.0208871,24309.94811,84.8654984,11.98135242
71,0.655563207,0,75.78236377,0,68.14570984,,832.4433594,3182.856269,295.9888341,627,118.0349447,35.00265688,24242.90644,82.62025916,11.98311262
72,2.440923606,0,248.0006708,0,73.10663609,,830.8025583,2385.769074,-33.4296842,627,118.0261925,34.99969655,24277.52409,83.87588167,11.979757
73,1.88429168,0,207.731417,0,73.6345799,,831.930171,555.1521645,-984.6731081,627,118.0060942,34.99114447,24105.35591,82.63867693,11.98130734
74,3.755136,0,189.9399729,0,73.49975395,,830.4905247,7488.629523,-694.9711601,627,118.082209,34.99372226,24332.59534,82.57902069,11.98168643
75,5.185664,0,231.6888653,0,72.7407867,,830.8491235,3797.161921,2313.560055,627,118.0416985,35.02079922,24229.11919,83.85459987,11.98161156
76,5.141659929,0,199.1297388,0,72.58681942,,830.7118249,380.0256159,117.0554844,627,118.0041722,35.00105263,24179.38221,89.63476156,11.98669095
77,4.06E+00,0,227.9261262,0,68.00501354,,831.1715613,1539.106365,1469.02668,627,118.0169001,35.0132101,24217.75839,81.76679881,11.98089495
78,0.67498951,0,261.5044299,0,71.50994867,,831.1817565,3935.241294,1457.364345,627,118.0432107,35.01309874,24298.21385,82.67439965,11.98378091
79,5.616115263,0,242.4831359,0,68.62149869,,829.8570973,3332.133128,-841.5518313,627,118.0365791,34.99242626,24193.7322,82.6732493,11.98170578
80,2.219368666,0,251.5421425,0,67.86391637,,830.2591965,6318.747564,-481.5623059,627,118.0693679,34.99564948,24290.70895,82.72466052,11.98702746
81,9.298432,0,228.2467058,0,71.28819496,,836.1678469,2852.302782,-109.4597605,627,118.0313142,34.99901158,24112.12326,83.2043433,11.98409674
